no,url_id,link,location_name,category,address,rating,number_of_ratings,price_range_per_person,reported_by_people,range_price,percentage,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close
21,0x2e69c582160de719:0x4f753371f143b08a,https://www.google.com/maps/place/shu+coffee/data=!4m7!3m6!1s0x2e69c582160de719:0x4f753371f143b08a!8m2!3d-6.5920881!4d106.7880895!16s%2Fg%2F11sr0wdhk6!19sChIJGecNFoLFaS4RirBD8XEzdU8?authuser=0&hl=en&rclk=1,"shu coffee","Coffee shop","Jl. Merdeka No.78, RT.01/RW.02, Ciwaringin, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16124",4.7,265,"Rp 25-50K",104,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000, Rp 100.000-125.000","3%, 57%, 27%, 6%, 6%","8.00 am","10.00 pm",1.30,"10.00 pm",1.30,"10.00 pm","8.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm"
22,0x2e69c594b227714d:0x4986dff7cbbf2445,https://www.google.com/maps/place/Tsuin+Bogor+Raya+at+Padi+Space/data=!4m7!3m6!1s0x2e69c594b227714d:0x4986dff7cbbf2445!8m2!3d-6.5976351!4d106.8189419!16s%2Fg%2F11qq3kfmf5!19sChIJTXEnspTFaS4RRSS_y_ffhkk?authuser=0&hl=en&rclk=1,"Tsuin Bogor Raya at Padi Space",Cafe,"Jl. Kp. Sawah No.2, Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16154",4.7,464,"Rp 50-75K",130,"Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000, Rp 100.000-125.000","28%, 45%, 10%, 11%","7.00 am","11.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm","8.00 am","1.00 am","7.00 am","11.00 pm"
23,0x2e69c545bcecd265:0xeed048e4105f8965,https://www.google.com/maps/place/LATERRA+CAFE/data=!4m7!3m6!1s0x2e69c545bcecd265:0xeed048e4105f8965!8m2!3d-6.5724473!4d106.742097!16s%2Fg%2F11j3xd2247!19sChIJZdLsvEXFaS4RZYlfEORI0O4?authuser=0&hl=en&rclk=1,"LATERRA CAFE","Coffee shop","Jl. Raya Dramaga No.1, Margajaya, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16116",4.4,732,"Rp 25-50K",80,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000, Rp 75.000-100.000","8%, 38%, 29%, 13%","7.30 am","11.30 pm","7.30 am","11.30 pm","7.30 am","11.30 pm","7.30 am","11.30 pm","7.30 am","11.30 pm","7.30 am","11.30 pm","7.30 am","11.30 pm"
24,0x2e69c5b33a958fb7:0x5e3333deaba3109f,https://www.google.com/maps/place/Dimitree+Cafe/data=!4m7!3m6!1s0x2e69c5b33a958fb7:0x5e3333deaba3109f!8m2!3d-6.5895609!4d106.802522!16s%2Fg%2F11h23n5m5n!19sChIJt4-VOrPFaS4RnxCjq94zM14?authuser=0&hl=en&rclk=1,"Dimitree Cafe","Coffee shop","Jl. Pangrango No.5, RT.04/RW.04, Babakan, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16128",4.5,1010,NULL,NULL,NULL,NULL,"10.00 am","11.00 pm","10.00 am","11.00 pm","10.00 am","11.00 pm","10.00 am","11.00 pm","8.00 am","11.00 pm","8.00 am","11.00 pm","8.00 am","11.00 pm"
25,0x2e69c5430e739913:0xfb551380fc19a68f,https://www.google.com/maps/place/Miru+Coffee/data=!4m7!3m6!1s0x2e69c5430e739913:0xfb551380fc19a68f!8m2!3d-6.6117969!4d106.8143544!16s%2Fg%2F11k3lnwfll!19sChIJE5lzDkPFaS4Rj6YZ_IATVfs?authuser=0&hl=en&rclk=1,"Miru Coffee",Cafe,"Jl. Pajajaran Indah No.7, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",4.5,316,"Rp 25-75K",182,"Rp 1-25.000, Rp 25.000-75.000, Rp 75.000-125.000","2%, 59%, 33%","7.00 am","9.00 pm","7.00 am","9.00 pm","7.00 am","9.00 pm","7.00 am","9.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm"
26,0x2e69c52b086f46e9:0xdfe942b2c57eb7e3,https://www.google.com/maps/place/MODESTO+Coffee+%26+Tea/data=!4m7!3m6!1s0x2e69c52b086f46e9:0xdfe942b2c57eb7e3!8m2!3d-6.5822142!4d106.7880193!16s%2Fg%2F11r3rvvxdw!19sChIJ6UZvCCvFaS4R47d-xbJC6d8?authuser=0&hl=en&rclk=1,"MODESTO Coffee & Tea","Coffee shop","Jl. Tentara Pelajar Jl. Balitro No.4, RT.03/RW.5, Ciwaringin, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16111",4.9,75,"Rp 25-50K",16,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000","31%, 50%, 19%","9.00 am","12.00 am","9.00 am","12.00 am","9.00 am","12.00 am","9.00 am","12.00 am","9.00 am","2.00 am","9.00 am","2.00 am","9.00 am","2.00 am"
27,0x2e69c54a9e78b82f:0x605a4f56009163b1,https://www.google.com/maps/place/Fanaticoffee+-+Coffeetaria/data=!4m7!3m6!1s0x2e69c54a9e78b82f:0x605a4f56009163b1!8m2!3d-6.6073095!4d106.8016274!16s%2Fg%2F11gnq0yhwt!19sChIJL7h4nkrFaS4RsWORAFZPWmA?authuser=0&hl=en&rclk=1,"Fanaticoffee - Coffeetaria","Coffee shop","Suryakencana St No.172, Gudang, Bogor Tengah, Bogor City, West Java 16123",4.7,937,"Rp 25-50K",217,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000","7%, 71%, 15%","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","11.00 pm","9.00 am","10.00 pm","9.00 am","11.00 pm","7.00 am","10.00 pm"
28,0x2e69c5fd67f95d3f:0x48c02356afb9a70c,https://www.google.com/maps/place/KOPI+TUGOH+SIGNATURE/data=!4m7!3m6!1s0x2e69c5fd67f95d3f:0x48c02356afb9a70c!8m2!3d-6.5887213!4d106.8046859!16s%2Fg%2F11k0sm8_h5!19sChIJP135Z_3FaS4RDKe5r1YjwEg?authuser=0&hl=en&rclk=1,"KOPI TUGOH SIGNATURE","Coffee shop","Jl. Raya Pajajaran No.2, RT.02/RW.04, Babakan, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16128",4.6,2385,"Rp 50-100K",467,"Rp 1-50.000, Rp 50.000-100.000, Rp 100.000-150.000","22%, 59%, 12%","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","8.00 am","10.00 pm","7.00 am","11.00 pm","7.00 am","11.00 pm","8.00 am","10.00 pm"
29,0x2e69c5a8cd930667:0x3bf9b6569acdc3bc,https://www.google.com/maps/place/TR+Coffee/data=!4m7!3m6!1s0x2e69c5a8cd930667:0x3bf9b6569acdc3bc!8m2!3d-6.6097913!4d106.8131365!16s%2Fg%2F11ny2cc16r!19sChIJZwaTzajFaS4RvMPNmla2-Ts?authuser=0&hl=en&rclk=1,"TR Coffee","Coffee shop","Jl. Pajajaran Indah V No.8, RT.01/RW.11, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",4.9,489,"Rp 25-50K",86,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000","8%, 53%, 26%","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours"
30,0x2e69c5fa64d77c1d:0xaee200aa8b95fdbe,https://www.google.com/maps/place/TOMORO+COFFEE+-+Pandu+Raya+Bogor/data=!4m7!3m6!1s0x2e69c5fa64d77c1d:0xaee200aa8b95fdbe!8m2!3d-6.5870134!4d106.8165136!16s%2Fg%2F11txbfq12g!19sChIJHXzXZPrFaS4Rvv2Vi6oA4q4?authuser=0&hl=en&rclk=1,"TOMORO COFFEE - Pandu Raya Bogor","Coffee shop","Achmad Adnawijaya St No.113a, RT.02/RW.16, Tegal Gundil, Bogor Utara, Bogor City, West Java 16152",4.8,519,"Rp 25-50K",151,"Rp 1-25.000, Rp 25.000-50.000, Rp 50.000-75.000","38%, 51%, 10%","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm","7.00 am","10.00 pm"
